# ShogiBoardQ 2026.09.25 詰将棋局面生成
# 生成日時: 2026/09/26 15:32:18 JST
# エンジン: KomoringHeights 1.1.0 64ZEN2 (PostSearchLevel=MinLength)
# 目標手数: 9 手詰
# 局面数: 1000（重複なし）
# 攻め駒上限: 5 / 6 枚（生成バッチ別）
# 守り駒上限: 2 / 3 / 4 枚（玉以外、生成バッチ別）
# 配置範囲: 2 マス（玉中心、生成バッチ別）
# 探索時間/局面: 1 秒（生成バッチ別）
# 未使用駒: 玉方の持駒に追加
# 事前選別: 1 / 3 / 5 / 10 / 25 ms探索で9手詰を確認できた候補に限定（生成バッチ別）
# 玉位置の事前選別: 盤端からの距離 0 / 1 / 4 マス以内（4は制限なし、生成バッチ別）
# 余詰検査: 主手順の余詰を除外、最終手の複数解を許容
# 手順形式: SFEN moves <初手> <玉方応手> <3手目> <玉方応手> <5手目> <玉方応手> <7手目> <玉方応手> <詰めの手>
9/9/9/1R7/k1+S6/9/9/9/9 b r2b4g3s4n4l18p 1 moves 7e8e 9e9f 8e8f 9f9g 8f8g 9g9h 8g8h 9h9i 8h8i
9/9/9/9/6r2/8R/5GBk1/8p/9 b B3g4s4n4l17p 1 moves 1f2f 2g3h 4g4h 3h3i 2f2i 3i2i B*3h 2i3i 4h4i
9/9/9/9/9/9/4b1+N2/5GB2/6k2 b SL2r3g3s3n3l18p 1 moves 4h4i 3i2h 3g2g 2h1h S*2i 1h1i 2i2h 1i1h L*1i
9/6kB1/4+L3p/9/9/9/9/9/9 b G2rb3g4s4n3l17p 1 moves G*3c 3b2a 2b3a+ 2a3a 5c4b 3a2a 4b3b 2a1a 3c2b
9/9/9/9/9/9/1gR6/kP7/1g+B6 b Grbg4s4n4l17p 1 moves 7i8i 9h8i G*7i 8i9h G*8i 9h9g 7g8g 9g9f G*8f
6b1k/6+L1s/6R+Pp/9/9/9/9/9/9 b rb4g3s4n3l16p 1 moves 2c1b 1a1b S*2c 1b1a 3b2a 1a2a 3c3b+ 2a1a 2c1b
9/9/9/9/9/9/R+R7/Ssl6/k1+l6 b 2b4g2s4n2l18p 1 moves 9h8i 8h9g 8g9g 9i8i S*9h 8i9i 9h8g 9i8i 9g9h
9/9/9/9/8+R/8n/8k/9/8+B b Nrb4g4s2n4l18p 1 moves N*2i 1g2g 1i3g 2g1h 1e1f G*1g 1f1g 1h2i 3g2h
9/9/9/7R1/6+P1k/9/9/9/9 b r2b4g4s4n4l17p 1 moves 3e2e 1e1f 2e2f 1f1g 2f2g 1g1h 2g2h 1h1i 2h2i
9/9/9/9/9/6+R2/7+Ns/8k/7L1 b r2b4g3s3n3l18p 1 moves 2g1g 1h2i S*1h 2i2h 1g2g 2h1h 3f3h 1h1i 3h2h
9/9/9/9/9/9/GgR6/2S6/kL7 b Gr2bg3s4n3l18p 1 moves G*9h 8g9h 9g9h 9i9h G*8h 9h9i 7g9g P*9h 8h9h
9/6r2/6Bg1/8k/9/8+P/9/9/9 b Grb2g4s4n4l17p 1 moves 1f1e 1d1c G*2d 1c1b 2d2c 1b2a G*2b 3b2b 2c2b
9/9/9/9/9/7+P1/9/5Skg1/7R1 b Gr2b2g3s4n4l17p 1 moves 2i2h 3h2h G*3i 2h1g G*2g 1g1h 2g2h 1h1i 2h2i
9/9/9/5+N+L1R/6n2/7k1/8R/8g/9 b 2b3g4s2n3l18p 1 moves 1d1f 2f2e 3d2d 2e2d 1f1c+ 2d2e 1c1f 2e2d 1f1d
9/9/9/9/9/6S1+N/6S2/6ggk/6+B2 b 2rb2g2s3n4l18p 1 moves 1f1g 1h1i 3g2h 3h2h G*1h 2h1h 1g1h 1i1h G*2i
9/9/9/9/9/9/1L7/1k7/3+B5 b 2G2rb2g4s4n3l18p 1 moves G*7h 8h9h G*8h 9h9i 8h8i 9i8i 6i7i 8i9h 7i8h
9/9/9/4G4/2+L3G2/2+Ngkn3/9/4G4/9 b 2r2b4s2n3l18p 1 moves 7f6f 5f6f G*7f 6f5f 5d5e 5f5e 7e6e 5e5f 7f6f
9/9/9/9/G8/9/2k1S4/Bg2S4/2+S+L5 b 2rb2gs4n3l18p 1 moves 7i8h 7g8h 6i7i 8h9g G*8g 9g9h 8g8h 9h9i 8h8i
9/9/9/9/9/2+P6/k1P6/2l6/1+L7 b L2r2b4g4s4nl16p 1 moves L*9i 9g8g 8i9h 8g9f 9h8h P*9h 9i9h P*9g 9h9g
k1B6/sLn6/9/9/9/9/9/9/9 b G2rb3g3s3n3l18p 1 moves G*8a 9b8a 8b8a+ 9a8a S*8b 8a9b 8b9c+ 9b9a 7a8b+
9/9/kB7/2G6/G8/9/9/9/9 b 2rb2g4s4n4l18p 1 moves 9e8d 9c8b 7d7c 8b9a 8c9b+ 9a9b 8d8c 9b9a 8c8b
9/5L1k1/5G2L/7+N1/9/9/9/9/9 b P2r2b3g4s3n2l17p 1 moves 4c3c 2b3a P*3b 3a2a 1c1b+ 2a1b 2d2c 1b2a 3c2b
9/9/9/9/9/9/6GR1/8p/6+pSk b Gr2b2g3s4n4l16p 1 moves 2i2h 1i2i G*1i 1h1i+ 2h1g 2i1h 2g2h 1h1g 3g2g
9/6Bk1/9/8B/9/9/9/9/9 b P2r4g4s4n4l17p 1 moves 3b2c+ 2b2a 2c3b 2a1a P*1b 1a1b 1d2c+ 1b1a 3b2b
9/9/9/9/9/9/1+Pg6/kgS6/2B6 b L2rb2g3s4n3l17p 1 moves 8g8h 7g8h L*9i 9h9i 7i8h 9i8h G*8i 8h9g G*8g
9/9/1R7/1G7/k8/9/9/9/9 b r2b3g4s4n4l18p 1 moves 8d8e 9e9f 8e8f 9f9g 8f8g 9g9h 8g8h 9h9i 8h8i
6+L1g/8k/6L1g/7BN/9/9/9/9/9 b G2rbg4s3n2l18p 1 moves G*2b 1a2b 1d2b+ 1b2b 3c3b+ 2b2c 2d3c+ 2c1b 3b2b
